Type,Timestamp/ms,X,Y,Z
1,17622,0.05757141,-0.126297,9.653534
1,17688,0.05996704,-0.12867737,9.658325
1,17754,0.06236267,-0.12867737,9.65593
9,17754,0.065688856,-0.12891643,9.805583
1,17821,0.07194519,-0.13825989,9.653534
1,17888,0.0647583,-0.131073,9.65593
1,17957,0.05039978,-0.12867737,9.660721
9,17959,0.06540567,-0.13084841,9.805559
1,18022,0.05279541,-0.131073,9.658325
1,18092,0.06715393,-0.12390137,9.660721
1,18158,0.07911682,-0.13586426,9.660721
9,18158,0.0660962,-0.13131411,9.805549
1,18223,0.07673645,-0.12390137,9.660721
1,18291,0.06236267,-0.126297,9.660721
1,18356,0.05996704,-0.12390137,9.658325
9,18357,0.0665628,-0.12973182,9.805567
1,18425,0.06954956,-0.12150574,9.665512
1,18491,0.06954956,-0.131073,9.660721
1,18559,0.06715393,-0.126297,9.660721
9,18559,0.067192234,-0.12921152,9.805569
1,18624,0.05517578,-0.126297,9.653534
1,18693,0.05039978,-0.14065552,9.65593
9,18760,0.06492599,-0.13024092,9.805571
1,18760,0.07673645,-0.12390137,9.658325
1,18826,0.0647583,-0.13346863,9.667908
1,18893,0.07911682,-0.12867737,9.663116
9,18959,0.0670368,-0.13008773,9.805558
1,18959,0.06236267,-0.12150574,9.65593
1,19026,0.05996704,-0.13346863,9.658325
1,19093,0.05996704,-0.131073,9.667908
9,19161,0.066157244,-0.1310682,9.805551
1,19161,0.07434082,-0.12867737,9.658325
1,19228,0.08630371,-0.131073,9.653534
1,19295,0.05757141,-0.12150574,9.651154
1,19362,0.04560852,-0.13586426,9.658325
9,19363,0.06597974,-0.13122074,9.805551
1,19428,0.05517578,-0.131073,9.648758
1,19495,0.07194519,-0.12150574,9.65593
1,19564,0.07911682,-0.12867737,9.65593
9,19564,0.0672928,-0.13051526,9.805551
1,19627,0.05996704,-0.12867737,9.658325
1,19696,0.05757141,-0.131073,9.65593
9,19763,0.06357079,-0.13136451,9.805564
1,19764,0.04800415,-0.13346863,9.663116
1,19830,0.06954956,-0.12867737,9.653534
1,19898,0.07434082,-0.13586426,9.663116
1,19963,0.06715393,-0.13346863,9.663116
9,19964,0.06574016,-0.13246855,9.805534
1,20030,0.05039978,-0.13586426,9.663116
1,20097,0.04081726,-0.12150574,9.665512
1,20165,0.0647583,-0.12390137,9.65593
9,20166,0.06145822,-0.13130528,9.805578
1,20231,0.07194519,-0.126297,9.665512
1,20298,0.06715393,-0.126297,9.660721
1,20365,0.06236267,-0.11911011,9.660721
9,20366,0.06419448,-0.12944712,9.805586
1,20431,0.04321289,-0.12867737,9.658325
1,20498,0.06236267,-0.131073,9.665512
9,20566,0.06304998,-0.12955587,9.805593
1,20566,0.06954956,-0.12390137,9.663116
1,20637,0.07194519,-0.126297,9.65593
1,20699,0.05757141,-0.12390137,9.660721
1,20765,0.03842163,-0.126297,9.65593
9,20766,0.061013926,-0.12885065,9.805613
1,20833,0.05279541,-0.13346863,9.665512
1,20900,0.07434082,-0.12150574,9.667908
9,20967,0.06260436,-0.12968458,9.805593
1,20968,0.06715393,-0.13346863,9.667908
1,21034,0.06236267,-0.12867737,9.670303
1,21101,0.05039978,-0.126297,9.665512
1,21168,0.07194519,-0.13586426,9.667908
9,21169,0.06258385,-0.13096565,9.805576
1,21235,0.05517578,-0.13346863,9.65593
1,21302,0.07673645,-0.131073,9.660721
9,21369,0.0636743,-0.13058549,9.805574
1,21369,0.06236267,-0.11911011,9.660721
1,21434,0.04560852,-0.12867737,9.660721
1,21501,0.0647583,-0.13346863,9.658325
9,21568,0.06485665,-0.13078171,9.805563
1,21568,0.08390808,-0.12150574,9.665512
1,21635,0.0647583,-0.131073,9.65593
1,21703,0.05517578,-0.131073,9.658325
1,21768,0.03842163,-0.126297,9.653534
9,21771,0.06159841,-0.13102275,9.805581
1,21837,0.06236267,-0.13586426,9.663116
1,21903,0.08869934,-0.12867737,9.658325
1,21971,0.07434082,-0.13586426,9.65593
9,21971,0.066982225,-0.13251552,9.805526
1,22038,0.06715393,-0.12150574,9.663116
1,22104,0.04081726,-0.126297,9.65593
9,22172,0.06450354,-0.1305363,9.805569
1,22172,0.07194519,-0.126297,9.660721
1,22237,0.08390808,-0.13825989,9.658325
1,22304,0.07194519,-0.13586426,9.663116
1,22372,0.05996704,-0.131073,9.658325
9,22373,0.06784453,-0.13272664,9.805518
1,22438,0.03842163,-0.14065552,9.658325
1,22506,0.05039978,-0.126297,9.660721
1,22573,0.07911682,-0.13586426,9.663116
9,22574,0.0642094,-0.13391529,9.805526
1,22640,0.06715393,-0.13586426,9.658325
1,22706,0.0647583,-0.13346863,9.65593
1,22773,0.05757141,-0.12150574,9.663116
9,22774,0.06422242,-0.13335937,9.805532
1,22841,0.06954956,-0.12867737,9.663116
1,22908,0.07673645,-0.131073,9.660721
9,22974,0.06827391,-0.13298404,9.8055105
1,22974,0.07911682,-0.131073,9.658325
1,23042,0.06236267,-0.12390137,9.658325
1,23108,0.05279541,-0.13586426,9.658325
9,23176,0.0666629,-0.13329464,9.805517
1,23176,0.07194519,-0.13586426,9.653534
1,23240,0.07434082,-0.13346863,9.658325
1,23308,0.06954956,-0.131073,9.658325
1,23375,0.0647583,-0.131073,9.660721
9,23375,0.06800858,-0.13348858,9.805506
1,23442,0.04081726,-0.126297,9.65593
1,23509,0.0647583,-0.131073,9.660721
1,23577,0.08151245,-0.12867737,9.665512
9,23578,0.06693725,-0.13252857,9.805526
1,23643,0.07911682,-0.13346863,9.660721
1,23710,0.06715393,-0.13346863,9.665512
1,23778,0.04560852,-0.12150574,9.663116
9,23779,0.065825045,-0.1321481,9.805539
1,23843,0.06236267,-0.131073,9.667908
1,23910,0.07434082,-0.12150574,9.660721
9,23977,0.06843828,-0.13160212,9.805529
1,23979,0.07673645,-0.13346863,9.675095
1,24045,0.07434082,-0.131073,9.667908
1,24118,0.03363037,-0.13825989,9.663116
1,24179,0.05279541,-0.126297,9.660721
9,24180,0.06424929,-0.13234057,9.805547
1,24246,0.05996704,-0.12867737,9.660721
1,24312,0.07673645,-0.131073,9.658325
9,24380,0.06606188,-0.13203587,9.805538
1,24381,0.0647583,-0.12867737,9.658325
1,24445,0.0647583,-0.12867737,9.658325
1,24514,0.05757141,-0.11671448,9.65593
9,24581,0.064011686,-0.13023046,9.805577
1,24581,0.05039978,-0.12867737,9.660721
1,24648,0.08390808,-0.14305115,9.663116
1,24713,0.07434082,-0.13825989,9.660721
1,24780,0.0647583,-0.126297,9.660721
9,24782,0.06786273,-0.13278367,9.805516
1,24847,0.05039978,-0.12867737,9.670303
1,24914,0.06715393,-0.13825989,9.658325
1,24981,0.07911682,-0.12867737,9.663116
9,24982,0.067917846,-0.13357998,9.805505
1,25048,0.08151245,-0.131073,9.660721
1,25115,0.05517578,-0.126297,9.658325
1,25181,0.05039978,-0.126297,9.663116
9,25181,0.0668644,-0.1323279,9.80553
1,25249,0.05996704,-0.126297,9.663116
1,25315,0.06715393,-0.13586426,9.660721
1,25383,0.07673645,-0.13346863,9.65593
9,25383,0.06805934,-0.13284555,9.805515
1,25449,0.06236267,-0.12390137,9.667908
1,25517,0.04800415,-0.13586426,9.660721
1,25583,0.05996704,-0.131073,9.660721
9,25584,0.0646096,-0.1326345,9.805541
1,25650,0.07673645,-0.13346863,9.665512
1,25718,0.08151245,-0.13346863,9.660721
9,25784,0.06897357,-0.13330637,9.805501
1,25785,0.06715393,-0.131073,9.663116
1,25853,0.05279541,-0.12867737,9.667908
1,25918,0.05757141,-0.126297,9.660721
1,25985,0.0647583,-0.14065552,9.660721
9,25986,0.064826824,-0.13348022,9.805528
1,26052,0.08151245,-0.131073,9.660721
1,26119,0.05517578,-0.13586426,9.660721
1,26185,0.05279541,-0.13346863,9.665512
9,26186,0.064626835,-0.13413325,9.805519
1,26252,0.06715393,-0.13346863,9.663116
1,26320,0.07194519,-0.14305115,9.667908
1,26388,0.07911682,-0.14305115,9.665512
9,26389,0.06724678,-0.13671558,9.805467
1,26453,0.05279541,-0.131073,9.667908
1,26520,0.05517578,-0.126297,9.663116
9,26587,0.06225557,-0.13575377,9.805513
1,26588,0.05039978,-0.13825989,9.65593
1,26654,0.05757141,-0.126297,9.658325
1,26721,0.08151245,-0.12390137,9.651154
1,26788,0.08151245,-0.11911011,9.660721
9,26788,0.066435404,-0.13217026,9.805534
1,26854,0.06236267,-0.12390137,9.660721
1,26921,0.04800415,-0.131073,9.65593
9,26989,0.06436093,-0.13085239,9.805566
1,26990,0.06715393,-0.12390137,9.658325
1,27056,0.08390808,-0.13586426,9.660721
1,27121,0.07911682,-0.12867737,9.660721
9,27189,0.06943608,-0.1307389,9.805533
1,27190,0.07194519,-0.12150574,9.679871
1,27255,0.05279541,-0.12867737,9.665512
1,27323,0.06236267,-0.14065552,9.658325
1,27389,0.07911682,-0.13346863,9.660721
9,27392,0.068224706,-0.13258745,9.805516
1,27456,0.05757141,-0.11671448,9.660721
